run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.train_accuracy,metrics.epoch,metrics.train_loss_step,metrics.lr-Adam,metrics.val_accuracy,metrics.train_loss_epoch,min_val_loss,test_f1_macro,num_params,train_time_s,test_accuracy,lr,params.n_train,params.epochs,params.optimizer_params/lr,emb_dim,params.train_fraction,params.optimizer_params/weight_decay,params.n_val,params.scheduler_params/patience,vocab_size,params.n_test,params.dataset,params.scheduler_interval,params.batch_size,params.tokenizer,n_heads_label_attn,params.optimizer,params.scheduler_params/factor,n_layers,params.n_classes,n_head,params.scheduler,params.agg,params.scheduler_params/mode,tags.mlflow.source.type,tags.mlflow.source.name,tags.mlflow.source.git.commit,tags.mlflow.runName,tags.mlflow.user,architecture
9ed61ca023fc49678fb09b3833bc8ad4,13,FINISHED,mlflow-artifacts:/13/9ed61ca023fc49678fb09b3833bc8ad4/artifacts,2026-07-06 11:59:40.899000+00:00,2026-07-06 12:36:09.757000+00:00,0.911322295665741,32.0,0.2116873562335968,0.0001,0.8564800024032593,0.3033210039138794,0.534192681312561,0.4897,540199,2116.7,0.8541,0.0001,163615,100,0.0001,128,0.13,0.0001,25000,2,2000,25000,naf,epoch,128,wordpiece,None,<class 'torch.optim.adam.Adam'>,0.5,1,679,4,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,mean,min,LOCAL,/home/onyxia/work/insee_internship/src/train.py,df5077f6112d9b4fd5742f36e4e9c69378c24ff3,resilient-newt-833,projet-text-classif,FATE (L=1)
97208d6799004265a6797cbc4dd802cd,13,FINISHED,mlflow-artifacts:/13/97208d6799004265a6797cbc4dd802cd/artifacts,2026-07-01 09:16:59.556000+00:00,2026-07-01 10:03:47.630000+00:00,0.9177459478378296,28.0,0.2325991690158844,0.0001,0.8452399969100952,0.2746942937374115,0.5665795803070068,0.5374,1372840,2733.0,0.8474,0.0001,163615,100,0.0001,512,0.13,0.0001,25000,2,2000,25000,naf,epoch,128,wordpiece,None,<class 'torch.optim.adam.Adam'>,0.5,0,680,None,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,mean,min,LOCAL,/home/onyxia/work/insee_internship/src/train.py,ad25500af705cfcc1dc0460bb0b82788f86d3edf,treasured-turtle-755,projet-text-classif,FastText
b83d804f60d7493cbe585976cb905b4b,13,FINISHED,mlflow-artifacts:/13/b83d804f60d7493cbe585976cb905b4b/artifacts,2026-07-01 09:17:01.499000+00:00,2026-07-01 09:55:58.436000+00:00,0.9160590171813965,40.0,0.30300357937812805,0.0001,0.8445199728012085,0.2835357189178467,0.5683010816574097,0.539,686760,2256.6,0.847,0.0001,163615,100,0.0001,256,0.13,0.0001,25000,2,2000,25000,naf,epoch,128,wordpiece,None,<class 'torch.optim.adam.Adam'>,0.5,0,680,None,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,mean,min,LOCAL,/home/onyxia/work/insee_internship/src/train.py,ad25500af705cfcc1dc0460bb0b82788f86d3edf,capricious-cod-796,projet-text-classif,FastText
7d8690939b1b49fba23ff23ee8a2c594,13,FINISHED,mlflow-artifacts:/13/7d8690939b1b49fba23ff23ee8a2c594/artifacts,2026-07-01 15:49:03.495000+00:00,2026-07-01 16:50:19.231000+00:00,0.9290896058082581,25.0,0.1467595249414444,0.0001,0.8437600135803223,0.24121783673763275,0.5756070017814636,0.5448,2908840,3535.6,0.8483,0.0001,163615,100,0.0001,512,0.13,0.0001,25000,2,5000,25000,naf,epoch,128,wordpiece,None,<class 'torch.optim.adam.Adam'>,0.5,0,680,None,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,mean,min,LOCAL,/home/onyxia/work/insee_internship/src/train.py,ad25500af705cfcc1dc0460bb0b82788f86d3edf,luxuriant-fowl-922,projet-text-classif,FastText
ccba7fc6bbb3449d91796f4bdc7ab508,13,FINISHED,mlflow-artifacts:/13/ccba7fc6bbb3449d91796f4bdc7ab508/artifacts,2026-07-01 09:17:07.455000+00:00,2026-07-01 10:01:37.041000+00:00,0.9108211398124695,60.0,0.2994745969772339,0.0001,0.8439599871635437,0.3055157959461212,0.5757825374603271,0.5138,343720,2583.6,0.8445,0.0001,163615,100,0.0001,128,0.13,0.0001,25000,2,2000,25000,naf,epoch,128,wordpiece,None,<class 'torch.optim.adam.Adam'>,0.5,0,680,None,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,mean,min,LOCAL,/home/onyxia/work/insee_internship/src/train.py,ad25500af705cfcc1dc0460bb0b82788f86d3edf,inquisitive-dog-820,projet-text-classif,FastText
6a57a6ea3c184a999d8a835a7a7144ed,13,FINISHED,mlflow-artifacts:/13/6a57a6ea3c184a999d8a835a7a7144ed/artifacts,2026-07-01 12:36:49.442000+00:00,2026-07-01 13:14:31.518000+00:00,0.9244018197059631,31.0,0.33885031938552856,0.0001,0.8433600068092346,0.25934845209121704,0.5788710713386536,0.526,1454760,2143.3,0.8474,0.0001,163615,100,0.0001,256,0.13,0.0001,25000,2,5000,25000,naf,epoch,128,wordpiece,None,<class 'torch.optim.adam.Adam'>,0.5,0,680,None,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,mean,min,LOCAL,/home/onyxia/work/insee_internship/src/train.py,ad25500af705cfcc1dc0460bb0b82788f86d3edf,upbeat-bee-618,projet-text-classif,FastText
4cd25f54ec434326b7a608529e96d3c5,13,FINISHED,mlflow-artifacts:/13/4cd25f54ec434326b7a608529e96d3c5/artifacts,2026-07-01 11:03:28.450000+00:00,2026-07-01 11:16:43.596000+00:00,0.906866729259491,16.0,0.298988938331604,0.0005,0.8428800106048584,0.3092813193798065,0.585625171661377,0.5204,343720,707.5,0.8448,0.0005,163615,100,0.0005,128,0.13,0.0001,25000,2,2000,25000,naf,epoch,128,wordpiece,None,<class 'torch.optim.adam.Adam'>,0.5,0,680,None,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,mean,min,LOCAL,/home/onyxia/work/insee_internship/src/train.py,ad25500af705cfcc1dc0460bb0b82788f86d3edf,nebulous-skunk-735,projet-text-classif,FastText
305d4bd236ed4d6fb0f6f7d8d48c8550,13,FINISHED,mlflow-artifacts:/13/305d4bd236ed4d6fb0f6f7d8d48c8550/artifacts,2026-07-01 12:11:25.587000+00:00,2026-07-01 12:46:05.334000+00:00,0.9236622452735901,45.0,0.3184201121330261,0.0001,0.8410400152206421,0.265861451625824,0.5872739553451538,0.5162,727720,1992.8,0.8451,0.0001,163615,100,0.0001,128,0.13,0.0001,25000,2,5000,25000,naf,epoch,128,wordpiece,None,<class 'torch.optim.adam.Adam'>,0.5,0,680,None,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,mean,min,LOCAL,/home/onyxia/work/insee_internship/src/train.py,ad25500af705cfcc1dc0460bb0b82788f86d3edf,calm-panda-65,projet-text-classif,FastText
563ef5f2c41849f1b80ac66486c7ddbb,13,FINISHED,mlflow-artifacts:/13/563ef5f2c41849f1b80ac66486c7ddbb/artifacts,2026-07-01 11:41:58.918000+00:00,2026-07-01 11:51:07.615000+00:00,0.8951257467269897,10.0,0.35284560918807983,0.001,0.8398799896240234,0.341409832239151,0.5886346101760864,0.5196,343720,464.2,0.8432,0.001,163615,100,0.001,128,0.13,0.0001,25000,2,2000,25000,naf,epoch,128,wordpiece,None,<class 'torch.optim.adam.Adam'>,0.5,0,680,None,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,mean,min,LOCAL,/home/onyxia/work/insee_internship/src/train.py,ad25500af705cfcc1dc0460bb0b82788f86d3edf,indecisive-goose-629,projet-text-classif,FastText
af0481df599948ffab6cc1fbe769c027,13,FINISHED,mlflow-artifacts:/13/af0481df599948ffab6cc1fbe769c027/artifacts,2026-07-01 10:57:02.086000+00:00,2026-07-01 11:11:00.029000+00:00,0.9092748165130615,11.0,0.46444106101989746,0.0005,0.8420400023460388,0.2939312756061554,0.5893993973731995,0.5255,686760,728.9,0.8444,0.0005,163615,100,0.0005,256,0.13,0.0001,25000,2,2000,25000,naf,epoch,128,wordpiece,None,<class 'torch.optim.adam.Adam'>,0.5,0,680,None,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,mean,min,LOCAL,/home/onyxia/work/insee_internship/src/train.py,ad25500af705cfcc1dc0460bb0b82788f86d3edf,serious-seal-471,projet-text-classif,FastText
